MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
10/25/2023 - CLE @ BKN,W,240,114,44,94,46.8,17,43,39.5,9,10,90,9,29,38,25,10,6,10,23
10/27/2023 - CLE vs. OKC,L,240,105,38,92,41.3,12,45,26.7,17,23,73.9,8,40,48,20,10,8,13,16
10/28/2023 - CLE vs. IND,L,240,113,43,99,43.4,12,31,38.7,15,24,62.5,18,33,51,29,2,6,6,16
10/31/2023 - CLE vs. NYK,L,240,91,36,92,39.1,10,38,26.3,9,12,75,14,32,46,19,6,6,15,19
11/01/2023 - CLE @ NYK,W,240,95,32,74,43.2,12,32,37.5,19,20,95,6,40,46,22,7,5,18,27
11/03/2023 - CLE @ IND,L,240,116,44,84,52.4,8,28,28.6,20,25,80,5,30,35,27,10,9,13,20
11/05/2023 - CLE vs. GSW,W,240,115,41,83,49.4,11,37,29.7,22,28,78.6,13,41,54,26,8,2,18,21
11/08/2023 - CLE @ OKC,L,240,120,42,83,50.6,9,29,31,27,37,73,11,30,41,26,9,5,18,24
11/11/2023 - CLE @ GSW,W,240,118,37,86,43,11,30,36.7,33,43,76.7,11,34,45,23,13,3,10,24
11/13/2023 - CLE @ SAC,L,240,120,45,91,49.5,16,35,45.7,14,17,82.4,14,25,39,24,3,1,11,18
11/15/2023 - CLE @ POR,W,240,109,42,75,56,9,30,30,16,21,76.2,7,40,47,23,5,9,17,16
11/17/2023 - CLE vs. DET,W,240,108,42,82,51.2,9,21,42.9,15,21,71.4,7,32,39,21,9,6,12,9
11/19/2023 - CLE vs. DEN,W,240,121,45,82,54.9,11,27,40.7,20,26,76.9,11,36,47,30,6,5,13,18
11/21/2023 - CLE @ PHI,W,265,122,46,94,48.9,9,25,36,21,25,84,14,42,56,33,9,4,15,21
11/22/2023 - CLE vs. MIA,L,240,96,36,77,46.8,14,30,46.7,10,14,71.4,7,27,34,25,5,6,19,17
11/25/2023 - CLE vs. LAL,L,240,115,43,91,47.3,9,28,32.1,20,23,87,7,30,37,30,13,4,14,16
11/26/2023 - CLE vs. TOR,W,240,105,45,97,46.4,10,31,32.3,5,6,83.3,12,37,49,29,2,5,14,18
11/28/2023 - CLE vs. ATL,W,240,128,50,93,53.8,13,36,36.1,15,17,88.2,12,43,55,27,8,12,16,20
11/30/2023 - CLE vs. POR,L,240,95,38,89,42.7,7,32,21.9,12,12,100,14,21,35,25,12,2,17,15
12/02/2023 - CLE @ DET,W,240,110,44,89,49.4,10,30,33.3,12,18,66.7,8,35,43,25,11,1,11,18
12/06/2023 - CLE vs. ORL,W,240,121,46,86,53.5,14,34,41.2,15,20,75,10,35,45,29,5,2,15,27
12/08/2023 - CLE @ MIA,W,240,111,40,87,46,14,38,36.8,17,26,65.4,12,39,51,21,13,2,13,17
12/11/2023 - CLE @ ORL,L,240,94,30,85,35.3,9,40,22.5,25,33,75.8,18,30,48,15,10,3,14,23
12/12/2023 - CLE @ BOS,L,240,113,44,92,47.8,19,45,42.2,6,9,66.7,6,29,35,27,6,4,12,18
12/14/2023 - CLE @ BOS,L,240,107,40,83,48.2,11,33,33.3,16,17,94.1,9,30,39,21,7,1,16,18
12/16/2023 - CLE vs. ATL,W,240,127,49,101,48.5,16,42,38.1,13,15,86.7,18,31,49,32,8,3,10,22
12/18/2023 - CLE vs. HOU,W,265,135,47,97,48.5,19,48,39.6,22,34,64.7,14,24,38,29,7,8,11,25
12/20/2023 - CLE vs. UTA,W,240,124,45,96,46.9,23,51,45.1,11,16,68.8,14,30,44,34,8,3,11,23
12/21/2023 - CLE vs. NOP,L,240,104,41,87,47.1,17,44,38.6,5,8,62.5,6,29,35,34,4,3,11,13
12/23/2023 - CLE @ CHI,W,240,109,39,88,44.3,12,45,26.7,19,26,73.1,15,33,48,28,7,4,12,16
12/27/2023 - CLE @ DAL,W,240,113,40,92,43.5,17,43,39.5,16,23,69.6,18,39,57,33,7,4,16,21
12/29/2023 - CLE vs. MIL,L,240,111,49,103,47.6,6,43,14,7,9,77.8,7,30,37,28,11,7,8,20
01/01/2024 - CLE @ TOR,L,240,121,43,89,48.3,12,36,33.3,23,26,88.5,6,37,43,25,9,2,9,29
01/03/2024 - CLE vs. WAS,W,240,140,54,101,53.5,20,42,47.6,12,16,75,18,44,62,37,5,8,8,13
01/05/2024 - CLE vs. WAS,W,240,114,41,77,53.2,16,33,48.5,16,23,69.6,12,40,52,31,9,1,23,19
01/07/2024 - CLE vs. SAS,W,240,117,43,88,48.9,16,43,37.2,15,21,71.4,12,32,44,27,6,3,16,16
01/11/2024 - CLE vs. BKN,W,240,111,32,82,39,13,44,29.5,34,43,79.1,12,35,47,16,11,6,11,24
01/15/2024 - CLE vs. CHI,W,240,109,39,95,41.1,20,57,35.1,11,11,100,13,35,48,28,9,3,11,14
01/17/2024 - CLE vs. MIL,W,240,135,55,93,59.1,12,28,42.9,13,19,68.4,11,44,55,36,5,3,10,9
01/20/2024 - CLE @ ATL,W,240,116,43,85,50.6,16,43,37.2,14,16,87.5,4,45,49,32,7,6,13,16
01/22/2024 - CLE @ ORL,W,240,126,45,80,56.3,20,38,52.6,16,22,72.7,9,30,39,29,10,4,9,20
01/24/2024 - CLE @ MIL,L,240,116,46,91,50.5,13,38,34.2,11,15,73.3,6,33,39,26,5,2,12,18
01/26/2024 - CLE @ MIL,W,240,112,38,92,41.3,14,36,38.9,22,31,71,15,36,51,20,7,8,13,22
01/29/2024 - CLE vs. LAC,W,240,118,42,86,48.8,13,40,32.5,21,26,80.8,11,35,46,28,6,3,13,18
01/31/2024 - CLE vs. DET,W,240,128,47,89,52.8,12,35,34.3,22,23,95.7,10,23,33,26,13,5,9,15
02/01/2024 - CLE @ MEM,W,240,108,41,86,47.7,14,35,40,12,18,66.7,10,38,48,26,6,8,14,16
02/03/2024 - CLE @ SAS,W,240,117,46,97,47.4,13,44,29.5,12,13,92.3,10,41,51,31,6,4,9,19
02/05/2024 - CLE vs. SAC,W,240,136,51,88,58,23,41,56.1,11,17,64.7,5,40,45,36,10,5,8,15
02/07/2024 - CLE @ WAS,W,240,114,43,88,48.9,12,35,34.3,16,22,72.7,7,39,46,25,4,5,14,11
02/08/2024 - CLE @ BKN,W,240,118,43,80,53.8,15,37,40.5,17,17,100,7,41,48,26,8,13,15,18
04/14/2024 - CLE vs. CHA,L,240,110,44,93,47.3,16,33,48.5,6,9,66.7,12,31,43,30,4,1,14,8
04/12/2024 - CLE vs. IND,W,240,129,50,95,52.6,13,32,40.6,16,23,69.6,11,30,41,28,9,2,9,14
04/10/2024 - CLE vs. MEM,W,240,110,37,82,45.1,15,37,40.5,21,29,72.4,12,35,47,27,11,10,13,15
04/07/2024 - CLE @ LAC,L,240,118,42,88,47.7,11,30,36.7,23,27,85.2,7,29,36,27,10,2,11,16
04/06/2024 - CLE @ LAL,L,240,97,39,90,43.3,11,35,31.4,8,12,66.7,11,29,40,24,11,3,18,11
04/03/2024 - CLE @ PHX,L,240,101,39,83,47,7,26,26.9,16,19,84.2,7,30,37,28,9,4,15,14
04/02/2024 - CLE @ UTA,W,240,129,46,85,54.1,16,39,41,21,24,87.5,9,32,41,38,10,6,13,14
03/31/2024 - CLE @ DEN,L,240,101,38,82,46.3,8,25,32,17,21,81,6,22,28,26,10,4,15,12
03/29/2024 - CLE vs. PHI,W,240,117,45,82,54.9,16,37,43.2,11,13,84.6,5,32,37,34,4,3,13,17
03/27/2024 - CLE @ CHA,L,240,111,42,85,49.4,19,44,43.2,8,14,57.1,9,23,32,33,7,1,13,21
03/25/2024 - CLE vs. CHA,W,240,115,46,86,53.5,17,41,41.5,6,10,60,9,38,47,41,4,3,12,15
03/24/2024 - CLE @ MIA,L,240,84,30,72,41.7,9,29,31,15,20,75,4,26,30,24,3,3,17,16
03/22/2024 - CLE @ MIN,L,240,91,34,81,42,7,29,24.1,16,19,84.2,10,31,41,22,6,5,12,14
03/20/2024 - CLE vs. MIA,L,240,104,35,75,46.7,15,42,35.7,19,22,86.4,6,31,37,30,3,2,11,19
03/18/2024 - CLE @ IND,W,240,108,38,80,47.5,12,32,37.5,20,28,71.4,9,30,39,27,8,4,14,18
03/16/2024 - CLE @ HOU,L,240,103,37,82,45.1,12,38,31.6,17,20,85,7,38,45,22,6,7,15,12
03/13/2024 - CLE @ NOP,W,240,116,47,92,51.1,20,45,44.4,2,3,66.7,8,38,46,38,4,4,9,18
03/11/2024 - CLE vs. PHX,L,240,111,40,84,47.6,15,46,32.6,16,19,84.2,10,27,37,30,9,0,12,18
03/10/2024 - CLE vs. BKN,L,240,101,37,76,48.7,14,32,43.8,13,20,65,5,26,31,25,8,4,12,17
03/08/2024 - CLE vs. MIN,W,265,113,38,88,43.2,11,34,32.4,26,36,72.2,10,36,46,27,7,8,12,20
03/06/2024 - CLE @ ATL,L,240,101,39,89,43.8,10,44,22.7,13,17,76.5,10,32,42,27,5,4,13,16
03/05/2024 - CLE vs. BOS,W,240,105,39,90,43.3,20,42,47.6,7,11,63.6,8,34,42,28,11,3,8,10
03/03/2024 - CLE vs. NYK,L,240,98,39,87,44.8,17,44,38.6,3,8,37.5,10,29,39,31,7,5,10,11
03/01/2024 - CLE @ DET,W,240,110,33,83,39.8,18,41,43.9,26,30,86.7,12,41,53,25,7,6,15,20
02/28/2024 - CLE @ CHI,L,290,123,45,104,43.3,22,54,40.7,11,19,57.9,5,34,39,37,7,11,12,25
02/27/2024 - CLE vs. DAL,W,240,121,44,83,53,20,40,50,13,18,72.2,9,38,47,35,2,4,16,12
02/25/2024 - CLE @ WAS,W,240,114,42,83,50.6,10,32,31.3,20,27,74.1,6,41,47,35,6,6,10,16
02/23/2024 - CLE @ PHI,L,240,97,34,80,42.5,8,27,29.6,21,31,67.7,5,38,43,24,5,8,10,15
02/22/2024 - CLE vs. ORL,L,240,109,39,70,55.7,10,22,45.5,21,26,80.8,7,26,33,31,8,5,17,18
02/14/2024 - CLE vs. CHI,W,240,108,40,83,48.2,12,37,32.4,16,21,76.2,6,30,36,31,6,2,8,18
02/12/2024 - CLE vs. PHI,L,240,121,44,92,47.8,13,37,35.1,20,25,80,15,28,43,33,6,8,10,17
02/10/2024 - CLE @ TOR,W,240,119,48,92,52.2,14,41,34.1,9,13,69.2,14,33,47,36,5,4,10,18
02/08/2024 - CLE @ BKN,W,240,118,43,80,53.8,15,37,40.5,17,17,100,7,41,48,26,8,13,15,18
02/07/2024 - CLE @ WAS,W,240,114,43,88,48.9,12,35,34.3,16,22,72.7,7,39,46,25,4,5,14,11
02/05/2024 - CLE vs. SAC,W,240,136,51,88,58,23,41,56.1,11,17,64.7,5,40,45,36,10,5,8,15
02/03/2024 - CLE @ SAS,W,240,117,46,97,47.4,13,44,29.5,12,13,92.3,10,41,51,31,6,4,9,19
02/01/2024 - CLE @ MEM,W,240,108,41,86,47.7,14,35,40,12,18,66.7,10,38,48,26,6,8,14,16
01/31/2024 - CLE vs. DET,W,240,128,47,89,52.8,12,35,34.3,22,23,95.7,10,23,33,26,13,5,9,15
01/29/2024 - CLE vs. LAC,W,240,118,42,86,48.8,13,40,32.5,21,26,80.8,11,35,46,28,6,3,13,18
01/26/2024 - CLE @ MIL,W,240,112,38,92,41.3,14,36,38.9,22,31,71,15,36,51,20,7,8,13,22
01/24/2024 - CLE @ MIL,L,240,116,46,91,50.5,13,38,34.2,11,15,73.3,6,33,39,26,5,2,12,18
01/22/2024 - CLE @ ORL,W,240,126,45,80,56.3,20,38,52.6,16,22,72.7,9,30,39,29,10,4,9,20
01/20/2024 - CLE @ ATL,W,240,116,43,85,50.6,16,43,37.2,14,16,87.5,4,45,49,32,7,6,13,16
01/17/2024 - CLE vs. MIL,W,240,135,55,93,59.1,12,28,42.9,13,19,68.4,11,44,55,36,5,3,10,9
01/15/2024 - CLE vs. CHI,W,240,109,39,95,41.1,20,57,35.1,11,11,100,13,35,48,28,9,3,11,14
01/11/2024 - CLE vs. BKN,W,240,111,32,82,39,13,44,29.5,34,43,79.1,12,35,47,16,11,6,11,24
01/07/2024 - CLE vs. SAS,W,240,117,43,88,48.9,16,43,37.2,15,21,71.4,12,32,44,27,6,3,16,16
01/05/2024 - CLE vs. WAS,W,240,114,41,77,53.2,16,33,48.5,16,23,69.6,12,40,52,31,9,1,23,19
01/03/2024 - CLE vs. WAS,W,240,140,54,101,53.5,20,42,47.6,12,16,75,18,44,62,37,5,8,8,13
01/01/2024 - CLE @ TOR,L,240,121,43,89,48.3,12,36,33.3,23,26,88.5,6,37,43,25,9,2,9,29